vulnerable_package,dependency_name,dependency_version_spec,vulnerability_version_specs
djangorestframework-simplejwt,django,>=4.2,"['<0.91.1', '<0.91.2', '<0.91.3', '<0.96.4', '<1.0.4', '<1.1.3', '<1.1.4', '<1.10.8', '<1.11.16', '<1.11.19', '<1.11.23', '<1.2.2', '<1.2.7', '<1.3.2', '<1.3.4', '<1.4.11', '<1.4.13', '<1.4.14', '<1.4.18', '<1.4.20', '<1.4.21', '<1.4.7', '<1.7.11', '<1.7.6', '<1.8.10', '<1.8.14', '<1.8.15', '<2.1.9', '<2.2.16', '<2.2.19', '<2.2.21', '<2.2.24', '<2.2.25', '<2.2.26', '<2.2.27', '<2.2.28', '<3.2.14', '<3.2.15', '<3.2.16', '<3.2.17', '<3.2.18', '<3.2.19', '<3.2.20', '<3.2.21', '<3.2.22', '<3.2.23', '<3.2.24', '<3.2.25', '<4.2.14', '<4.2.15', '<4.2.16', '<4.2.17', '<=0.95', '==1.11.8', '==1.11.9', '>=0,<1.3.6', '>=0.95a1,<0.95.2', '>=0.95a1,<0.95.3', '>=0.95a1,<0.95.4', '>=0.96a1,<0.96.1', '>=0.96a1,<0.96.2', '>=0.96a1,<0.96.3', '>=1.0a0,<1.0.3', '>=1.10.0a1,<1.10.7', '>=1.10a1,<1.10.3', '>=1.10a1,<1.10.7', '>=1.10a1,<1.10rc1', '>=1.11a1,<1.1.29', '>=1.11a1,<1.11.11', '>=1.11a1,<1.11.15', '>=1.11a1,<1.11.21', '>=1.11a1,<1.11.22', '>=1.11a1,<1.11.23', '>=1.11a1,<1.11.27', '>=1.11a1,<1.11.28', '>=1.11a1,<1.11.5', '>=1.1a1,<1.1.1', '>=1.2a1,<1.2.4', '>=1.2a1,<1.2.5', '>=1.3a1,<1.3.1', '>=1.3a1,<1.3.6', '>=1.4,<1.4.4', '>=1.4a1,<1.4.1', '>=1.4a1,<1.4.2', '>=1.4a1,<1.4.22', '>=1.4a1,<1.4.4', '>=1.4a1,<1.4.6', '>=1.4a1,<1.4.8', '>=1.5,<1.5.2', '>=1.5a1,<1.5.1', '>=1.5a1,<1.5.2', '>=1.5a1,<1.5.3', '>=1.5a1,<1.5.4', '>=1.5a1,<1.5.6', '>=1.5a1,<1.5.8', '>=1.5a1,<1.5.9', '>=1.5a1,<1.6.11', '>=1.5a1,<1.7.9', '>=1.6a1,<1.6.10', '>=1.6a1,<1.6.11', '>=1.6a1,<1.6.3', '>=1.6a1,<1.6.5', '>=1.6a1,<1.6.6', '>=1.6a1,<1.6b2', '>=1.6a1,<1.6b3', '>=1.6a1,<1.6b4', '>=1.7a1,<1.7.10', '>=1.7a1,<1.7.3', '>=1.7a1,<1.7.7', '>=1.7a1,<1.7b2', '>=1.7a1,<1.7b4', '>=1.7a1,<1.7rc3', '>=1.8.0a1,<1.8.18', '>=1.8a1,<1.8.16', '>=1.8a1,<1.8.18', '>=1.8a1,<1.8.19', '>=1.8a1,<1.8.2', '>=1.8a1,<1.8.3', '>=1.8a1,<1.8.4', '>=1.8a1,<1.8.7', '>=1.8a1,<1.8b2', '>=1.8a1,<1.8c1', '>=1.9.0a1,<1.9.13', '>=1.9a1,<1.9.10', '>=1.9a1,<1.9.11', '>=1.9a1,<1.9.13', '>=1.9a1,<1.9.18', '>=1.9a1,<1.9.2', '>=1.9a1,<1.9.3', '>=1.9a1,<1.9rc2', '>=2.0a1,<2.0.11', '>=2.0a1,<2.0.2', '>=2.0a1,<2.0.3', '>=2.0a1,<2.0.8', '>=2.0a1,<2.0.9', '>=2.0a1,<2.1.11', '>=2.0a1,<2.1.9', '>=2.0a1,<2.2.10', '>=2.0a1,<2.2.18', '>=2.0a1,<2.2.9', '>=2.1a1,<2.1.1', '>=2.1a1,<2.1.10', '>=2.1a1,<2.1.15', '>=2.1a1,<2.1.2', '>=2.1a1,<2.1.5', '>=2.1a1,<2.1.6', '>=2.2a1,<2.2.11', '>=2.2a1,<2.2.13', '>=2.2a1,<2.2.2', '>=2.2a1,<2.2.20', '>=2.2a1,<2.2.22', '>=2.2a1,<2.2.3', '>=2.2a1,<2.2.4', '>=2.2a1,<2.2.8', '>=3.0.0a1,<3.1.12', '>=3.0a1,<3.0.1', '>=3.0a1,<3.0.10', '>=3.0a1,<3.0.12', '>=3.0a1,<3.0.13', '>=3.0a1,<3.0.14', '>=3.0a1,<3.0.3', '>=3.0a1,<3.0.4', '>=3.0a1,<3.0.7', '>=3.0a1,<3.1.12', '>=3.0a1,<3.1.9', '>=3.0a1,<3.2.11', '>=3.0a1,<3.2.12', '>=3.0a1,<3.2.13', '>=3.1a1,<3.1.1', '>=3.1a1,<3.1.10', '>=3.1a1,<3.1.13', '>=3.1a1,<3.1.14', '>=3.1a1,<3.1.6', '>=3.1a1,<3.1.7', '>=3.1a1,<3.1.8', '>=3.2.0a1,<3.2.4', '>=3.2a1,<3.2.1', '>=3.2a1,<3.2.10', '>=3.2a1,<3.2.2', '>=3.2a1,<3.2.4', '>=3.2a1,<3.2.5', '>=4.0a1,<4.0.1', '>=4.0a1,<4.0.10', '>=4.0a1,<4.0.2', '>=4.0a1,<4.0.4', '>=4.0a1,<4.0.6', '>=4.0a1,<4.0.7', '>=4.0a1,<4.0.8', '>=4.0a1,<4.0.9', '>=4.0a1,<4.1.10', '>=4.0a1,<4.1.11', '>=4.0a1,<4.1.12', '>=4.0a1,<4.1.13', '>=4.0a1,<4.1.9', '>=4.0a1,<4.2.10', '>=4.0a1,<4.2.11', '>=4.1a1,<4.1.2', '>=4.1a1,<4.1.6', '>=4.1a1,<4.1.7', '>=4.2a1,<4.2.1', '>=4.2a1,<4.2.3', '>=4.2a1,<4.2.5', '>=4.2a1,<4.2.6', '>=4.2a1,<4.2.7', '>=5.0a1,<5.0.10', '>=5.0a1,<5.0.2', '>=5.0a1,<5.0.3', '>=5.0a1,<5.0.7', '>=5.0a1,<5.0.8', '>=5.0a1,<5.0.9', '>=5.1a1,<5.1.1', '>=5.1a1,<5.1.4']"
djangorestframework-simplejwt,pyjwt,"<3,>=1.7.1","['<1.0.0', '<1.5.1', '<2.10.1', '>=1.5.0,<2.4.0']"
djangorestframework-simplejwt,python-jose,==3.3.0,"['<1.3.2', '>=0']"
djangorestframework-simplejwt,python-jose,==3.3.0,"['<1.3.2', '>=0']"
djangorestframework-simplejwt,cryptography,>=3.3.1,"['<0.9.1', '<1.0.2', '<1.5.3', '<2.1.3', '<3.3', '<3.3.2', '<39.0.1', '<41.0.0', '<41.0.2', '<41.0.4', '<41.0.5', '<42.0.0', '<42.0.2', '<42.0.5', '<42.0.8', '<=3.2', '>=0,<1.1', '>=0.8,<41.0.3', '>=1.8,<39.0.1', '>=1.9.0,<2.3', '>=3.1,<41.0.6', '>=35.0.0,<42.0.0', '>=35.0.0,<42.0.2', '>=35.0.0,<42.0.6', '>=37.0.0,<38.0.3', '>=37.0.0,<43.0.1', '>=38.0.0,<42.0.4']"
langfuse,pydantic,"<3.0,>=1.10.7","['<1.10.13', '<1.10.2', '<1.6.2', '>=1.7.0a0,<1.7.4', '>=1.8.0a1,<1.8.2', '>=2.0.0,<2.4.0', '>=2.0a1,<2.4.0']"
langfuse,langchain,>=0.0.309,"['<0.0.142', '<0.0.225', '<0.0.236', '<0.0.247', '<0.0.306', '<0.0.312', '<0.0.317', '<0.0.325', '<0.0.329', '<0.0.353', '<0.1.0', '<0.1.12', '<0.1.14', '<0.1.8', '<=0.0.14', '<=0.0.231', '<=0.0.245', '==0.0.199', '==0.0.64', '>=0,<0.1.14']"
langfuse,requests,"<3,>=2","['<0.13.4', '<2.3.0', '<2.32.2', '<=2.19.1', '>=2.1,<=2.5.3', '>=2.3.0,<2.31.0']"
ydata-profiling,pydantic,>=2,"['<1.10.13', '<1.10.2', '<1.6.2', '>=1.7.0a0,<1.7.4', '>=1.8.0a1,<1.8.2', '>=2.0.0,<2.4.0', '>=2.0a1,<2.4.0']"
ydata-profiling,jinja2,"<3.2,>=2.11.1","['<2.11.3', '<2.7.2', '<2.8.1', '<3.1.3', '<3.1.4', '<3.1.5', '>=0,<2.10.1', '>=0,<2.7.3']"
apache-airflow-providers-apache-spark,pyspark,>=3.1.3,"['<2.3.3', '<3.4.0', '<=3.0.3', '==2.3.0', '>=0,<2.1.3', '>=0,<2.2.0', '>=0,<2.4.6', '>=0,<3.1.3', '>=0,<3.2.2', '>=1.0.2,<2.2.3', '>=1.6.0,<2.1.2', '>=2.1.0,<2.1.3', '>=2.2.0,<2.2.2', '>=2.3.0,<2.3.2', '>=3.1.1,<=3.1.3', '>=3.2.0,<3.2.2', '>=3.2.0,<=3.2.1']"
vllm,numpy,<2.0.0,"['<1.13.2', '<1.16.3', '<1.21.0rc1', '<1.22.0', '<1.22.2', '<1.8.1']"
vllm,ray,>=2.9,"['<1.10.0', '<1.8.0', '<1.9.1', '<1.9.2', '<2.11.0', '<2.8.1', '<2.9.0', '>=0']"
aim,cryptography,>=3.0,"['<0.9.1', '<1.0.2', '<1.5.3', '<2.1.3', '<3.3', '<3.3.2', '<39.0.1', '<41.0.0', '<41.0.2', '<41.0.4', '<41.0.5', '<42.0.0', '<42.0.2', '<42.0.5', '<42.0.8', '<=3.2', '>=0,<1.1', '>=0.8,<41.0.3', '>=1.8,<39.0.1', '>=1.9.0,<2.3', '>=3.1,<41.0.6', '>=35.0.0,<42.0.0', '>=35.0.0,<42.0.2', '>=35.0.0,<42.0.6', '>=37.0.0,<38.0.3', '>=37.0.0,<43.0.1', '>=38.0.0,<42.0.4']"
aim,jinja2,"<4,>=2.10.0","['<2.11.3', '<2.7.2', '<2.8.1', '<3.1.3', '<3.1.4', '<3.1.5', '>=0,<2.10.1', '>=0,<2.7.3']"
feast,pyarrow,<18.1.0,"['>=0.12.0,<=0.14.1', '>=0.14.0,<=0.14.1', '>=0.14.0,<=14.0.0']"
feast,pydantic,>=2.0.0,"['<1.10.13', '<1.10.2', '<1.6.2', '>=1.7.0a0,<1.7.4', '>=1.8.0a1,<1.8.2', '>=2.0.0,<2.4.0', '>=2.0a1,<2.4.0']"
feast,tqdm,"<5,>=4","['<4.11.2', '<4.66.3']"
feast,moto,<5,['<1.3.7']
feast,urllib3,"<3,>=1.25.4","['<1.23', '<1.24.2', '<1.24.3', '<1.25.9', '<1.26.17', '<1.26.18', '<1.26.5', '<=1.26.18', '==1.17', '==1.18', '>=0,<1.8', '>=1.25.2,<=1.25.7', '>=1.26.0,<1.26.4', '>=2.0.0a1,<2.0.5', '>=2.0.0a1,<2.0.7', '>=2.0.0a1,<=2.2.1']"
feast,pre-commit,<3.3.2,['<1.10.4']
feast,virtualenv,<20.24.2,"['<1.5', '<20.21.0', '<20.26.6']"
feast,redis,"<5,>=4.2.2","['>=4.2.0rc1,<4.3.6', '>=4.2.0rc1,<4.4.4', '>=4.4.0rc1,<4.4.3', '>=4.5.0,<4.5.3', '>=4.5.0,<4.5.4']"
feast,hiredis,"<3,>=2.0.0",['<2.1.0']
feast,aiobotocore,"<3,>2",['<2.9.1']
feast,kubernetes,<=20.13.0,"['<10.0.1', '<25.3.0', '<7.0.1', '>=8.0,<8.0.1', '>=9.0,<9.0.0a1']"
feast,pyspark,"<4,>=3.0.0","['<2.3.3', '<3.4.0', '<=3.0.3', '==2.3.0', '>=0,<2.1.3', '>=0,<2.2.0', '>=0,<2.4.6', '>=0,<3.1.3', '>=0,<3.2.2', '>=1.0.2,<2.2.3', '>=1.6.0,<2.1.2', '>=2.1.0,<2.1.3', '>=2.2.0,<2.2.2', '>=2.3.0,<2.3.2', '>=3.1.1,<=3.1.3', '>=3.2.0,<3.2.2', '>=3.2.0,<=3.2.1']"
feast,psycopg,"<4,>=3.0.0",['<3.0.4']
feast,sqlite-vec,==v0.1.1,['<0.1.3']
feast,moto,<5,['<1.3.7']
feast,urllib3,"<3,>=1.25.4","['<1.23', '<1.24.2', '<1.24.3', '<1.25.9', '<1.26.17', '<1.26.18', '<1.26.5', '<=1.26.18', '==1.17', '==1.18', '>=0,<1.8', '>=1.25.2,<=1.25.7', '>=1.26.0,<1.26.4', '>=2.0.0a1,<2.0.5', '>=2.0.0a1,<2.0.7', '>=2.0.0a1,<=2.2.1']"
feast,pre-commit,<3.3.2,['<1.10.4']
feast,virtualenv,<20.24.2,"['<1.5', '<20.21.0', '<20.26.6']"
feast,redis,"<5,>=4.2.2","['>=4.2.0rc1,<4.3.6', '>=4.2.0rc1,<4.4.4', '>=4.4.0rc1,<4.4.3', '>=4.5.0,<4.5.3', '>=4.5.0,<4.5.4']"
feast,hiredis,"<3,>=2.0.0",['<2.1.0']
feast,aiobotocore,"<3,>2",['<2.9.1']
feast,kubernetes,<=20.13.0,"['<10.0.1', '<25.3.0', '<7.0.1', '>=8.0,<8.0.1', '>=9.0,<9.0.0a1']"
feast,pyspark,"<4,>=3.0.0","['<2.3.3', '<3.4.0', '<=3.0.3', '==2.3.0', '>=0,<2.1.3', '>=0,<2.2.0', '>=0,<2.4.6', '>=0,<3.1.3', '>=0,<3.2.2', '>=1.0.2,<2.2.3', '>=1.6.0,<2.1.2', '>=2.1.0,<2.1.3', '>=2.2.0,<2.2.2', '>=2.3.0,<2.3.2', '>=3.1.1,<=3.1.3', '>=3.2.0,<3.2.2', '>=3.2.0,<=3.2.1']"
feast,psycopg,"<4,>=3.0.0",['<3.0.4']
feast,sqlite-vec,==v0.1.1,['<0.1.3']
feast,aiobotocore,"<3,>2",['<2.9.1']
feast,kubernetes,<=20.13.0,"['<10.0.1', '<25.3.0', '<7.0.1', '>=8.0,<8.0.1', '>=9.0,<9.0.0a1']"
feast,redis,"<5,>=4.2.2","['>=4.2.0rc1,<4.3.6', '>=4.2.0rc1,<4.4.4', '>=4.4.0rc1,<4.4.3', '>=4.5.0,<4.5.3', '>=4.5.0,<4.5.4']"
feast,hiredis,"<3,>=2.0.0",['<2.1.0']
feast,pyspark,"<4,>=3.0.0","['<2.3.3', '<3.4.0', '<=3.0.3', '==2.3.0', '>=0,<2.1.3', '>=0,<2.2.0', '>=0,<2.4.6', '>=0,<3.1.3', '>=0,<3.2.2', '>=1.0.2,<2.2.3', '>=1.6.0,<2.1.2', '>=2.1.0,<2.1.3', '>=2.2.0,<2.2.2', '>=2.3.0,<2.3.2', '>=3.1.1,<=3.1.3', '>=3.2.0,<3.2.2', '>=3.2.0,<=3.2.1']"
feast,psycopg,"<4,>=3.0.0",['<3.0.4']
feast,moto,<5,['<1.3.7']
feast,urllib3,"<3,>=1.25.4","['<1.23', '<1.24.2', '<1.24.3', '<1.25.9', '<1.26.17', '<1.26.18', '<1.26.5', '<=1.26.18', '==1.17', '==1.18', '>=0,<1.8', '>=1.25.2,<=1.25.7', '>=1.26.0,<1.26.4', '>=2.0.0a1,<2.0.5', '>=2.0.0a1,<2.0.7', '>=2.0.0a1,<=2.2.1']"
feast,pre-commit,<3.3.2,['<1.10.4']
feast,virtualenv,<20.24.2,"['<1.5', '<20.21.0', '<20.26.6']"
feast,redis,"<5,>=4.2.2","['>=4.2.0rc1,<4.3.6', '>=4.2.0rc1,<4.4.4', '>=4.4.0rc1,<4.4.3', '>=4.5.0,<4.5.3', '>=4.5.0,<4.5.4']"
feast,hiredis,"<3,>=2.0.0",['<2.1.0']
feast,aiobotocore,"<3,>2",['<2.9.1']
feast,kubernetes,<=20.13.0,"['<10.0.1', '<25.3.0', '<7.0.1', '>=8.0,<8.0.1', '>=9.0,<9.0.0a1']"
feast,pyspark,"<4,>=3.0.0","['<2.3.3', '<3.4.0', '<=3.0.3', '==2.3.0', '>=0,<2.1.3', '>=0,<2.2.0', '>=0,<2.4.6', '>=0,<3.1.3', '>=0,<3.2.2', '>=1.0.2,<2.2.3', '>=1.6.0,<2.1.2', '>=2.1.0,<2.1.3', '>=2.2.0,<2.2.2', '>=2.3.0,<2.3.2', '>=3.1.1,<=3.1.3', '>=3.2.0,<3.2.2', '>=3.2.0,<=3.2.1']"
feast,psycopg,"<4,>=3.0.0",['<3.0.4']
feast,sqlite-vec,==v0.1.1,['<0.1.3']
feast,sqlite-vec,==v0.1.1,['<0.1.3']
paddlepaddle,protobuf,>=3.20.2,"['<3.15.0', '<3.18.3', '<3.4.0', '>=3.19.0rc0,<3.19.5', '>=3.20.0rc0,<3.20.2', '>=4.0.0rc0,<4.21.6']"
paddlepaddle,protobuf,"<=3.20.2,>=3.1.0","['<3.15.0', '<3.18.3', '<3.4.0', '>=3.19.0rc0,<3.19.5', '>=3.20.0rc0,<3.20.2', '>=4.0.0rc0,<4.21.6']"
clearml,psutil,>=3.4.2,"['<0.5.1', '<=5.6.5']"
clearml,urllib3,>=1.21.1,"['<1.23', '<1.24.2', '<1.24.3', '<1.25.9', '<1.26.17', '<1.26.18', '<1.26.5', '<=1.26.18', '==1.17', '==1.18', '>=0,<1.8', '>=1.25.2,<=1.25.7', '>=1.26.0,<1.26.4', '>=2.0.0a1,<2.0.5', '>=2.0.0a1,<2.0.7', '>=2.0.0a1,<=2.2.1']"
clearml,pyjwt,"<2.10.0,>=2.4.0","['<1.0.0', '<1.5.1', '<2.10.1', '>=1.5.0,<2.4.0']"
chainlit,pydantic,"<3,>=1","['<1.10.13', '<1.10.2', '<1.6.2', '>=1.7.0a0,<1.7.4', '>=1.8.0a1,<1.8.2', '>=2.0.0,<2.4.0', '>=2.0a1,<2.4.0']"
tiledb,jinja2,==3.0.0,"['<2.11.3', '<2.7.2', '<2.8.1', '<3.1.3', '<3.1.4', '<3.1.5', '>=0,<2.10.1', '>=0,<2.7.3']"
